,RUL
RUL,1.0
sensor_12,0.6719831036132881
sensor_7,0.6572226620548859
sensor_21,0.6356620421802908
sensor_20,0.6294284994377317
engine_id,0.07875253246984439
setting2,-0.0019476283515000403
setting1,-0.0031984575547385286
sensor_6,-0.1283484484741388
sensor_14,-0.30676887025758365
sensor_9,-0.3901015749180706
sensor_13,-0.5625688251495461
sensor_8,-0.563968406577174
sensor_3,-0.5845203909175872
sensor_17,-0.6061535537829669
sensor_2,-0.6064839743783421
sensor_15,-0.6426670441973723
sensor_4,-0.6789482333860483
sensor_11,-0.6962281014554225
cycle,-0.7362405993070217
